"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"WDPRBUS","199608","241.559","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199609","201.147","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199610","241.017","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199611","230.3","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199612","196.854","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199613","2437.027","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199701","219.532","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199702","169.842","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199703","191.206","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199704","189.865","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199705","200.871","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199706","172.743","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199707","195.848","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199708","204.296","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199709","193.213","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199710","239.624","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199711","203.767","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199712","190.185","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199713","2370.991","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199801","218.095","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199802","158.343","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199803","179.494","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199804","178.06","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199805","186.622","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199806","128.7","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199807","184.548","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199808","191.758","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199809","186.479","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199810","202.005","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199811","171.31","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199812","198.747","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199813","2184.161","1","Wood Energy Production","Trillion Btu"
